0,39.850895
2,29.817694
4,19.957989
6,20.179789
8,21.846476
10,27.581617
12,32.281452
14,39.543194
16,43.334309
18,48.114346
20,48.828510
22,49.602604
24,50
26,50
28,50
30,50
32,50
34,50
36,49.384735
38,40.537949
40,41.156757
42,43.053036
44,45.914684
46,46.333618
48,45.167725
50,44.955929
52,43.294861
54,42.504833
56,40.049664
58,50
60,50
62,50
64,50
66,50
68,50
70,50
72,50
74,50
76,50
78,50
80,50
82,50
84,50
86,50
88,50
90,50
92,50
94,50
96,50
98,46.301731
100,41.298023
102,41.233498
104,40.561508
106,40.061432
108,39.422749
110,41.646301
112,43.542362
114,46.386414
116,46.785233
118,46.937618
120,46.327717
122,44.711926
124,43.857037
126,46.261127
128,50
130,50
132,50
134,50
136,47.498135
138,46.641033
140,45.262798
142,43.854172
144,41.109756
146,39.441689
148,37.607834
150,37.795013
152,37.907318
154,36.473465
156,35.220455
158,33.467712
160,33.257301
162,33.402580
164,34.085400
166,35.729664
168,36.540073
170,37.170410
172,30.198090
174,23.391586
176,16.318384
178,15.858739
180,15.968972
